"","Region","Market","Chart","Name","Unit","Year","Value"
"111","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2017",9327.04
"112","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2018",15329.483
"113","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2019",23891.602
"114","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2020",30526.634
"115","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2021",37624.395
"116","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2022",44592.153
"117","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2023",51666.125
"118","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2024",58779.966
"119","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2025",66066.884
"120","China","Social Media Advertising","Ad Spending","Social Media Advertising Mobile","million USD (US$)","2026",73518.084
"121","China","Social Media Advertising","Ad Spending Growth","Total","percent","2017",NA
"122","China","Social Media Advertising","Ad Spending Growth","Total","percent","2018",59.284
"123","China","Social Media Advertising","Ad Spending Growth","Total","percent","2019",52.167
"124","China","Social Media Advertising","Ad Spending Growth","Total","percent","2020",25.505
"125","China","Social Media Advertising","Ad Spending Growth","Total","percent","2021",21.505
"126","China","Social Media Advertising","Ad Spending Growth","Total","percent","2022",17.191
"127","China","Social Media Advertising","Ad Spending Growth","Total","percent","2023",14.802
"128","China","Social Media Advertising","Ad Spending Growth","Total","percent","2024",12.942
"129","China","Social Media Advertising","Ad Spending Growth","Total","percent","2025",11.565
"130","China","Social Media Advertising","Ad Spending Growth","Total","percent","2026",10.464
"131","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2017",NA
"132","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2018",42.881
"133","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2019",38.445
"134","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2020",16.013
"135","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2021",13.452
"136","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2022",10.531
"137","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2023",9.098
"138","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2024",8.222
"139","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2025",6.57
"140","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Desktop","percent","2026",5.31
"141","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2017",NA
"142","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2018",64.355
"143","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2019",55.854
"144","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2020",27.771
"145","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2021",23.251
"146","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2022",18.519
"147","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2023",15.864
"148","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2024",13.769
"149","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2025",12.397
"150","China","Social Media Advertising","Ad Spending Growth","Social Media Advertising Mobile","percent","2026",11.278
"151","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2017",15.688
"152","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2018",23.292
"153","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2019",33.474
"154","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2020",37.995
"155","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2021",43.345
"156","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2022",47.942
"157","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2023",52.381
"158","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2024",56.693
"159","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2025",60.958
"160","China","Social Media Advertising","Average Ad Spending per Internet User","Total","USD (US$)","2026",65.213
"161","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2017",3.704
"162","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2018",4.934
"163","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2019",6.451
"164","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2020",6.768
"165","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2021",7.21
"166","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2022",7.521
"167","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2023",7.809
"168","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2024",8.099
"169","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2025",8.318
"170","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Desktop","USD (US$)","2026",8.484
"171","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2017",11.983
"172","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2018",18.359
"173","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2019",27.023
"174","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2020",31.226
"175","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2021",36.135
"176","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2022",40.421
"177","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2023",44.572
"178","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2024",48.594
"179","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2025",52.64
"180","China","Social Media Advertising","Average Ad Spending per Internet User","Social Media Advertising Mobile","USD (US$)","2026",56.729
"181","China","Social Media Advertising","Users by Age","18-24 years","percent","2017",NA
"182","China","Social Media Advertising","Users by Age","18-24 years","percent","2018",NA
"183","China","Social Media Advertising","Users by Age","18-24 years","percent","2019",NA
"184","China","Social Media Advertising","Users by Age","18-24 years","percent","2020",NA
"185","China","Social Media Advertising","Users by Age","18-24 years","percent","2021",17.764
"186","China","Social Media Advertising","Users by Age","18-24 years","percent","2022",NA
"187","China","Social Media Advertising","Users by Age","18-24 years","percent","2023",NA
"188","China","Social Media Advertising","Users by Age","18-24 years","percent","2024",NA
"189","China","Social Media Advertising","Users by Age","18-24 years","percent","2025",NA
"190","China","Social Media Advertising","Users by Age","18-24 years","percent","2026",NA
"191","China","Social Media Advertising","Users by Age","25-34 years","percent","2017",NA
"192","China","Social Media Advertising","Users by Age","25-34 years","percent","2018",NA
"193","China","Social Media Advertising","Users by Age","25-34 years","percent","2019",NA
"194","China","Social Media Advertising","Users by Age","25-34 years","percent","2020",NA
"195","China","Social Media Advertising","Users by Age","25-34 years","percent","2021",31.918
"196","China","Social Media Advertising","Users by Age","25-34 years","percent","2022",NA
"197","China","Social Media Advertising","Users by Age","25-34 years","percent","2023",NA
"198","China","Social Media Advertising","Users by Age","25-34 years","percent","2024",NA
"199","China","Social Media Advertising","Users by Age","25-34 years","percent","2025",NA
"200","China","Social Media Advertising","Users by Age","25-34 years","percent","2026",NA
"201","China","Social Media Advertising","Users by Age","35-44 years","percent","2017",NA
"202","China","Social Media Advertising","Users by Age","35-44 years","percent","2018",NA
"203","China","Social Media Advertising","Users by Age","35-44 years","percent","2019",NA
"204","China","Social Media Advertising","Users by Age","35-44 years","percent","2020",NA
"205","China","Social Media Advertising","Users by Age","35-44 years","percent","2021",24.957
"206","China","Social Media Advertising","Users by Age","35-44 years","percent","2022",NA
"207","China","Social Media Advertising","Users by Age","35-44 years","percent","2023",NA
"208","China","Social Media Advertising","Users by Age","35-44 years","percent","2024",NA
"209","China","Social Media Advertising","Users by Age","35-44 years","percent","2025",NA
"210","China","Social Media Advertising","Users by Age","35-44 years","percent","2026",NA
"211","China","Social Media Advertising","Users by Age","45-54 years","percent","2017",NA
"212","China","Social Media Advertising","Users by Age","45-54 years","percent","2018",NA
"213","China","Social Media Advertising","Users by Age","45-54 years","percent","2019",NA
"214","China","Social Media Advertising","Users by Age","45-54 years","percent","2020",NA
"215","China","Social Media Advertising","Users by Age","45-54 years","percent","2021",20.22
"216","China","Social Media Advertising","Users by Age","45-54 years","percent","2022",NA
"217","China","Social Media Advertising","Users by Age","45-54 years","percent","2023",NA
"218","China","Social Media Advertising","Users by Age","45-54 years","percent","2024",NA
"219","China","Social Media Advertising","Users by Age","45-54 years","percent","2025",NA
"220","China","Social Media Advertising","Users by Age","45-54 years","percent","2026",NA
"221","China","Social Media Advertising","Users by Age","55-64 years","percent","2017",NA
"222","China","Social Media Advertising","Users by Age","55-64 years","percent","2018",NA
"223","China","Social Media Advertising","Users by Age","55-64 years","percent","2019",NA
"224","China","Social Media Advertising","Users by Age","55-64 years","percent","2020",NA
"225","China","Social Media Advertising","Users by Age","55-64 years","percent","2021",5.14
"226","China","Social Media Advertising","Users by Age","55-64 years","percent","2022",NA
"227","China","Social Media Advertising","Users by Age","55-64 years","percent","2023",NA
"228","China","Social Media Advertising","Users by Age","55-64 years","percent","2024",NA
"229","China","Social Media Advertising","Users by Age","55-64 years","percent","2025",NA
"230","China","Social Media Advertising","Users by Age","55-64 years","percent","2026",NA
"231","China","Social Media Advertising","Users by Gender","female","percent","2017",NA
"232","China","Social Media Advertising","Users by Gender","female","percent","2018",NA
"233","China","Social Media Advertising","Users by Gender","female","percent","2019",NA
"234","China","Social Media Advertising","Users by Gender","female","percent","2020",NA
"235","China","Social Media Advertising","Users by Gender","female","percent","2021",47.834
"236","China","Social Media Advertising","Users by Gender","female","percent","2022",NA
"237","China","Social Media Advertising","Users by Gender","female","percent","2023",NA
"238","China","Social Media Advertising","Users by Gender","female","percent","2024",NA
"239","China","Social Media Advertising","Users by Gender","female","percent","2025",NA
"240","China","Social Media Advertising","Users by Gender","female","percent","2026",NA
"241","China","Social Media Advertising","Users by Gender","male","percent","2017",NA
"242","China","Social Media Advertising","Users by Gender","male","percent","2018",NA
"243","China","Social Media Advertising","Users by Gender","male","percent","2019",NA
"244","China","Social Media Advertising","Users by Gender","male","percent","2020",NA
"245","China","Social Media Advertising","Users by Gender","male","percent","2021",52.166
"246","China","Social Media Advertising","Users by Gender","male","percent","2022",NA
"247","China","Social Media Advertising","Users by Gender","male","percent","2023",NA
"248","China","Social Media Advertising","Users by Gender","male","percent","2024",NA
"249","China","Social Media Advertising","Users by Gender","male","percent","2025",NA
"250","China","Social Media Advertising","Users by Gender","male","percent","2026",NA
"251","China","Social Media Advertising","Users by Income","high income","percent","2017",NA
"252","China","Social Media Advertising","Users by Income","high income","percent","2018",NA
"253","China","Social Media Advertising","Users by Income","high income","percent","2019",NA
"254","China","Social Media Advertising","Users by Income","high income","percent","2020",NA
"255","China","Social Media Advertising","Users by Income","high income","percent","2021",33.206
"256","China","Social Media Advertising","Users by Income","high income","percent","2022",NA
"257","China","Social Media Advertising","Users by Income","high income","percent","2023",NA
"258","China","Social Media Advertising","Users by Income","high income","percent","2024",NA
"259","China","Social Media Advertising","Users by Income","high income","percent","2025",NA
"260","China","Social Media Advertising","Users by Income","high income","percent","2026",NA
"261","China","Social Media Advertising","Users by Income","low income","percent","2017",NA
"262","China","Social Media Advertising","Users by Income","low income","percent","2018",NA
"263","China","Social Media Advertising","Users by Income","low income","percent","2019",NA
"264","China","Social Media Advertising","Users by Income","low income","percent","2020",NA
"265","China","Social Media Advertising","Users by Income","low income","percent","2021",31.27
"266","China","Social Media Advertising","Users by Income","low income","percent","2022",NA
"267","China","Social Media Advertising","Users by Income","low income","percent","2023",NA
"268","China","Social Media Advertising","Users by Income","low income","percent","2024",NA
"269","China","Social Media Advertising","Users by Income","low income","percent","2025",NA
"270","China","Social Media Advertising","Users by Income","low income","percent","2026",NA
"271","China","Social Media Advertising","Users by Income","medium income","percent","2017",NA
"272","China","Social Media Advertising","Users by Income","medium income","percent","2018",NA
"273","China","Social Media Advertising","Users by Income","medium income","percent","2019",NA
"274","China","Social Media Advertising","Users by Income","medium income","percent","2020",NA
"275","China","Social Media Advertising","Users by Income","medium income","percent","2021",35.524
"276","China","Social Media Advertising","Users by Income","medium income","percent","2022",NA
"277","China","Social Media Advertising","Users by Income","medium income","percent","2023",NA
"278","China","Social Media Advertising","Users by Income","medium income","percent","2024",NA
"279","China","Social Media Advertising","Users by Income","medium income","percent","2025",NA
"280","China","Social Media Advertising","Users by Income","medium income","percent","2026",NA
"281","China","Social Media Advertising","Usage Shares","Other","percent","2017",NA
"282","China","Social Media Advertising","Usage Shares","Other","percent","2018",NA
"283","China","Social Media Advertising","Usage Shares","Other","percent","2019",NA
"284","China","Social Media Advertising","Usage Shares","Other","percent","2020",NA
"285","China","Social Media Advertising","Usage Shares","Other","percent","2021",5
"286","China","Social Media Advertising","Usage Shares","Other","percent","2022",NA
"287","China","Social Media Advertising","Usage Shares","Other","percent","2023",NA
"288","China","Social Media Advertising","Usage Shares","Other","percent","2024",NA
"289","China","Social Media Advertising","Usage Shares","Other","percent","2025",NA
"290","China","Social Media Advertising","Usage Shares","Other","percent","2026",NA
"291","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2017",NA
"292","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2018",NA
"293","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2019",NA
"294","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2020",NA
"295","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2021",10
"296","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2022",NA
"297","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2023",NA
"298","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2024",NA
"299","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2025",NA
"300","China","Social Media Advertising","Usage Shares","Kuaishou","percent","2026",NA
"301","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2017",NA
"302","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2018",NA
"303","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2019",NA
"304","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2020",NA
"305","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2021",5
"306","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2022",NA
"307","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2023",NA
"308","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2024",NA
"309","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2025",NA
"310","China","Social Media Advertising","Usage Shares","Sina Weibo","percent","2026",NA
"311","China","Social Media Advertising","Usage Shares","Tencent","percent","2017",NA
"312","China","Social Media Advertising","Usage Shares","Tencent","percent","2018",NA
"313","China","Social Media Advertising","Usage Shares","Tencent","percent","2019",NA
"314","China","Social Media Advertising","Usage Shares","Tencent","percent","2020",NA
"315","China","Social Media Advertising","Usage Shares","Tencent","percent","2021",20
"316","China","Social Media Advertising","Usage Shares","Tencent","percent","2022",NA
"317","China","Social Media Advertising","Usage Shares","Tencent","percent","2023",NA
"318","China","Social Media Advertising","Usage Shares","Tencent","percent","2024",NA
"319","China","Social Media Advertising","Usage Shares","Tencent","percent","2025",NA
"320","China","Social Media Advertising","Usage Shares","Tencent","percent","2026",NA
"321","China","Social Media Advertising","Usage Shares","TikTok","percent","2017",NA
"322","China","Social Media Advertising","Usage Shares","TikTok","percent","2018",NA
"323","China","Social Media Advertising","Usage Shares","TikTok","percent","2019",NA
"324","China","Social Media Advertising","Usage Shares","TikTok","percent","2020",NA
"325","China","Social Media Advertising","Usage Shares","TikTok","percent","2021",60
"326","China","Social Media Advertising","Usage Shares","TikTok","percent","2022",NA
"327","China","Social Media Advertising","Usage Shares","TikTok","percent","2023",NA
"328","China","Social Media Advertising","Usage Shares","TikTok","percent","2024",NA
"329","China","Social Media Advertising","Usage Shares","TikTok","percent","2025",NA
"330","China","Social Media Advertising","Usage Shares","TikTok","percent","2026",NA
"331","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2017",40653
"332","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2018",55838
"333","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2019",70697
"334","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2020",85965
"335","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2021",NA
"336","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2022",NA
"337","China","Social Media Advertising","Top Company Revenues (Worldwide & Consolidated)","Facebook, Inc.","million USD (US$)","2023",NA
